 
List of nellore Locations Pin Code
Location	Pincode	State	District
A.C.nagar	524002	Andhra Pradesh	Nellore
Anantapuram	524225	Andhra Pradesh	Nellore
Adurupalli	524342	Andhra Pradesh	Nellore
Akkagaripeta	524129	Andhra Pradesh	Nellore
Akkampeta	524121	Andhra Pradesh	Nellore
Akkarajuvari Kandriga	524142	Andhra Pradesh	Nellore
Alaganipadu	524218	Andhra Pradesh	Nellore
Alimili	524131	Andhra Pradesh	Nellore
Allampadu	524312	Andhra Pradesh	Nellore
Alliguntapalem	524203	Andhra Pradesh	Nellore
Allimadugu	524152	Andhra Pradesh	Nellore
Allipuram	524002	Andhra Pradesh	Nellore
Allur	524315	Andhra Pradesh	Nellore
Althurthi	524345	Andhra Pradesh	Nellore
Althurupadu	524132	Andhra Pradesh	Nellore
Amancherla	524345	Andhra Pradesh	Nellore
Amani Chiruvella	524303	Andhra Pradesh	Nellore
Ammapalem	524404	Andhra Pradesh	Nellore
Ammavaripalem	524345	Andhra Pradesh	Nellore
Amuduru	524132	Andhra Pradesh	Nellore
Anantasagaram	524302	Andhra Pradesh	Nellore
Ananthamadugu	524407	Andhra Pradesh	Nellore
Andhrakesari Nagar	524004	Andhra Pradesh	Nellore
Anemadugu	524203	Andhra Pradesh	Nellore
Anepudi	524123	Andhra Pradesh	Nellore
Anikepalli	524321	Andhra Pradesh	Nellore
Annagaripalem	524201	Andhra Pradesh	Nellore
Annamedu	524126	Andhra Pradesh	Nellore
Annareddypalem	524218	Andhra Pradesh	Nellore
Annavaram	524223	Andhra Pradesh	Nellore
Anumasamudram	524304	Andhra Pradesh	Nellore
Anumasamudrampeta	524304	Andhra Pradesh	Nellore
Apparaopalem	524001	Andhra Pradesh	Nellore
Appasamudram	524222	Andhra Pradesh	Nellore
Aravapalem	524127	Andhra Pradesh	Nellore
Aravedu	524307	Andhra Pradesh	Nellore
Arlapadia	524236	Andhra Pradesh	Nellore
Armenipadu	524402	Andhra Pradesh	Nellore
Aruru	524127	Andhra Pradesh	Nellore
Athivaram	524421	Andhra Pradesh	Nellore
Atmakur (nl)	524201	Andhra Pradesh	Nellore
Ayyavaripalem	524310	Andhra Pradesh	Nellore
Baddevolu	524405	Andhra Pradesh	Nellore
Balajinagar	524002	Andhra Pradesh	Nellore
Balayapalli	524226	Andhra Pradesh	Nellore
Balireddypalem	524415	Andhra Pradesh	Nellore
Ballavolu	524412	Andhra Pradesh	Nellore
Bandarupalli	524303	Andhra Pradesh	Nellore
Bandepalli	524405	Andhra Pradesh	Nellore
Bangarupeta	524404	Andhra Pradesh	Nellore
Basavarajupalem	524307	Andhra Pradesh	Nellore
Basinenipalli	524226	Andhra Pradesh	Nellore
Bathulapalli	524309	Andhra Pradesh	Nellore
Batrakagallu	524315	Andhra Pradesh	Nellore
Battepadu	524001	Andhra Pradesh	Nellore
Bedusupalli	524302	Andhra Pradesh	Nellore
Beripeta	524126	Andhra Pradesh	Nellore
Bhairavaram	524228	Andhra Pradesh	Nellore
Bhaktavatsalanagar	524004	Andhra Pradesh	Nellore
Bhatlakanupur	524402	Andhra Pradesh	Nellore
Bheemavaram	524421	Andhra Pradesh	Nellore
Bhyravaram	524421	Andhra Pradesh	Nellore
Bijjampalle	524230	Andhra Pradesh	Nellore
Biradavolu	524345	Andhra Pradesh	Nellore
Bitragunta	524142	Andhra Pradesh	Nellore
Bitragunta Loco shed	524142	Andhra Pradesh	Nellore
Bodagudipadu	524240	Andhra Pradesh	Nellore
Bodasi Idayapalli	524310	Andhra Pradesh	Nellore
Bodduvaripalem	524316	Andhra Pradesh	Nellore
Bogavolu	524142	Andhra Pradesh	Nellore
Bojjanapalli	524414	Andhra Pradesh	Nellore
Bommavaram	524302	Andhra Pradesh	Nellore
Botikerlapadu	524307	Andhra Pradesh	Nellore
Boyil Cheruvupalli	524307	Andhra Pradesh	Nellore
Brahmadevam	524346	Andhra Pradesh	Nellore
Brahmanakraka	524223	Andhra Pradesh	Nellore
Brahmanakraka Agraharam	524223	Andhra Pradesh	Nellore
Brahmanapalli	524230	Andhra Pradesh	Nellore
Buchi Bus stand	524305	Andhra Pradesh	Nellore
Buchireddypalem	524305	Andhra Pradesh	Nellore
Budamgunta	524201	Andhra Pradesh	Nellore
Budanam	524410	Andhra Pradesh	Nellore
Buja Buja nellore	524004	Andhra Pradesh	Nellore
Buradagalikothapalem	524403	Andhra Pradesh	Nellore
Chabolu	524230	Andhra Pradesh	Nellore
Chaganam	524407	Andhra Pradesh	Nellore
Chakalakonda	524221	Andhra Pradesh	Nellore
Chalamcherla	524201	Andhra Pradesh	Nellore
Chandrapadia	524228	Andhra Pradesh	Nellore
Chapalapalli	524134	Andhra Pradesh	Nellore
Chaparallapalli	524302	Andhra Pradesh	Nellore
Chatagotla	524345	Andhra Pradesh	Nellore
Chavali	524126	Andhra Pradesh	Nellore
Chavatabheemavaram	524304	Andhra Pradesh	Nellore
Chejerla	524341	Andhra Pradesh	Nellore
Chejerla Kandriga	524341	Andhra Pradesh	Nellore
Chellayapalem	524305	Andhra Pradesh	Nellore
Chemadala	524142	Andhra Pradesh	Nellore
Chembedu	524129	Andhra Pradesh	Nellore
Chemudugunta	524320	Andhra Pradesh	Nellore
Chennarayunipalem	524315	Andhra Pradesh	Nellore
Chennayapalem	524203	Andhra Pradesh	Nellore
Chennur	524406	Andhra Pradesh	Nellore
Chennuru	524240	Andhra Pradesh	Nellore
Cherlopalem	524137	Andhra Pradesh	Nellore
Cherlopalli	524405	Andhra Pradesh	Nellore
Cherloyadavalli	524001	Andhra Pradesh	Nellore
Cheropalli	524408	Andhra Pradesh	Nellore
Cherukumudi	524405	Andhra Pradesh	Nellore
Chigurupadu	524421	Andhra Pradesh	Nellore
Chikavolu	524407	Andhra Pradesh	Nellore
Chilakalamarri	524302	Andhra Pradesh	Nellore
Chilakampadu	524132	Andhra Pradesh	Nellore
Chilakapadu	524312	Andhra Pradesh	Nellore
Chilamanchenu	524402	Andhra Pradesh	Nellore
Chillakur	524412	Andhra Pradesh	Nellore
Chillamanur	524132	Andhra Pradesh	Nellore
Chillamur	524127	Andhra Pradesh	Nellore
Chinacherukuru	524002	Andhra Pradesh	Nellore
Chinna Annalur	524224	Andhra Pradesh	Nellore
Chinna Kaniyampadu	524227	Andhra Pradesh	Nellore
Chinna Nagampalli	524310	Andhra Pradesh	Nellore
Chinnagopavaram	524341	Andhra Pradesh	Nellore
Chinnakraka	524223	Andhra Pradesh	Nellore
Chinnamachanur	524230	Andhra Pradesh	Nellore
Chinnapareddypalli	524132	Andhra Pradesh	Nellore
Chinnathota	524403	Andhra Pradesh	Nellore
Chintagunta	524132	Andhra Pradesh	Nellore
Chintaladevi	524239	Andhra Pradesh	Nellore
Chintalapalem	524343	Andhra Pradesh	Nellore
Chintalatmakur	524343	Andhra Pradesh	Nellore
Chintapudi	524129	Andhra Pradesh	Nellore
Chintareddypalem	524002	Andhra Pradesh	Nellore
Chintavaram	524412	Andhra Pradesh	Nellore
Chintopu	524002	Andhra Pradesh	Nellore
Chipinapi	524343	Andhra Pradesh	Nellore
Chiramana	524308	Andhra Pradesh	Nellore
Chittalur	524341	Andhra Pradesh	Nellore
Chittamur	524127	Andhra Pradesh	Nellore
Chittedu	524410	Andhra Pradesh	Nellore
Chittepalli	524345	Andhra Pradesh	Nellore
Chodavaram	524201	Andhra Pradesh	Nellore
Choudaripalem	524201	Andhra Pradesh	Nellore
Chowkacherla	524316	Andhra Pradesh	Nellore
Chowtapalem	524320	Andhra Pradesh	Nellore
Chowtaputtedu	524240	Andhra Pradesh	Nellore
Chunchuluru	524302	Andhra Pradesh	Nellore
Dachur	524342	Andhra Pradesh	Nellore
Dagadarthi	524240	Andhra Pradesh	Nellore
Daggavolu	524407	Andhra Pradesh	Nellore
Dakkanuru	524227	Andhra Pradesh	Nellore
Dakkili	524134	Andhra Pradesh	Nellore
Damagunta	524316	Andhra Pradesh	Nellore
Damanellore	524121	Andhra Pradesh	Nellore
Damaramadugu	524137	Andhra Pradesh	Nellore
Damavaram	524152	Andhra Pradesh	Nellore
Damayapalem	524344	Andhra Pradesh	Nellore
Damncherla	524227	Andhra Pradesh	Nellore
Dampur	524218	Andhra Pradesh	Nellore
Dargamitta	524003	Andhra Pradesh	Nellore
Dasaripalli	524222	Andhra Pradesh	Nellore
Dcbc	524003	Andhra Pradesh	Nellore
Degapudi	524409	Andhra Pradesh	Nellore
Depur	524001	Andhra Pradesh	Nellore
Devarapalem	524004	Andhra Pradesh	Nellore
Devaravemuru	524409	Andhra Pradesh	Nellore
Devarayapalli	524303	Andhra Pradesh	Nellore
Dharmarao Cheruvupalli	524307	Andhra Pradesh	Nellore
Dontali	524320	Andhra Pradesh	Nellore
Doravarisatram	524123	Andhra Pradesh	Nellore
Doruvulapalem	524323	Andhra Pradesh	Nellore
Dos Colony	524121	Andhra Pradesh	Nellore
Dubagunta	524228	Andhra Pradesh	Nellore
Dugarajapatnam	524403	Andhra Pradesh	Nellore
Duggunta	524409	Andhra Pradesh	Nellore
Dundigam	524308	Andhra Pradesh	Nellore
Duthalur	524222	Andhra Pradesh	Nellore
Duvvur	524306	Andhra Pradesh	Nellore
Edagali	524321	Andhra Pradesh	Nellore
Eduru	524311	Andhra Pradesh	Nellore
Elamanchipadu	524317	Andhra Pradesh	Nellore
Eswrawaka	524127	Andhra Pradesh	Nellore
Fathekhanpet	524003	Andhra Pradesh	Nellore
Gaddamvaripalli	524226	Andhra Pradesh	Nellore
Gandavaram	524317	Andhra Pradesh	Nellore
Gandipalem	524236	Andhra Pradesh	Nellore
Gandlavedu	524307	Andhra Pradesh	Nellore
Ganeswarapuram	524221	Andhra Pradesh	Nellore
Gangapatnam	524313	Andhra Pradesh	Nellore
Gangavaram	524137	Andhra Pradesh	Nellore
Gangireddypalem	524228	Andhra Pradesh	Nellore
Gangulavaricheruvupalli	524230	Andhra Pradesh	Nellore
Ganugapenta	524239	Andhra Pradesh	Nellore
Garimenapenta	524221	Andhra Pradesh	Nellore
Gattupalli	524223	Andhra Pradesh	Nellore
Gilakapadu	524408	Andhra Pradesh	Nellore
Gogulapalli	524315	Andhra Pradesh	Nellore
Golagamudi	524321	Andhra Pradesh	Nellore
Gollakandukur	524309	Andhra Pradesh	Nellore
Gonupalli	524414	Andhra Pradesh	Nellore
Gopalapuram	524344	Andhra Pradesh	Nellore
Gopannapalem Kandriga	524223	Andhra Pradesh	Nellore
Gottigundala	524228	Andhra Pradesh	Nellore
Gottikadu	524131	Andhra Pradesh	Nellore
Gottirprolu	524127	Andhra Pradesh	Nellore
Gowravaram	524142	Andhra Pradesh	Nellore
Graddagunta	524421	Andhra Pradesh	Nellore
Griddalur	524409	Andhra Pradesh	Nellore
Gudali	524413	Andhra Pradesh	Nellore
Gudigunta	524302	Andhra Pradesh	Nellore
Gudinarava	524236	Andhra Pradesh	Nellore
Gudipadu	524234	Andhra Pradesh	Nellore
Gudipallipadu	524314	Andhra Pradesh	Nellore
Gudladona	524225	Andhra Pradesh	Nellore
Gudluruvaripalem	524323	Andhra Pradesh	Nellore
Gudur	524101	Andhra Pradesh	Nellore
Gudur Bazar	524101	Andhra Pradesh	Nellore
Gudur East	524101	Andhra Pradesh	Nellore
Gudurpolytechnic	524101	Andhra Pradesh	Nellore
Gulimcherla	524407	Andhra Pradesh	Nellore
Gumparlapadu	524234	Andhra Pradesh	Nellore
Gundavolu	524414	Andhra Pradesh	Nellore
Gundemadakala	524228	Andhra Pradesh	Nellore
Gundlammapalem	524316	Andhra Pradesh	Nellore
Gundlapalem	524002	Andhra Pradesh	Nellore
Gunupadu	524402	Andhra Pradesh	Nellore
Gurramkonda	524402	Andhra Pradesh	Nellore
Guruvindapudi	524320	Andhra Pradesh	Nellore
Guvvadi	524236	Andhra Pradesh	Nellore
Hasanapuram	524308	Andhra Pradesh	Nellore
Hastakaveri	524131	Andhra Pradesh	Nellore
Idimepalli	524321	Andhra Pradesh	Nellore
Inamadugu	524137	Andhra Pradesh	Nellore
Indukurpeta	524314	Andhra Pradesh	Nellore
Indupur	524315	Andhra Pradesh	Nellore
Inukurthi	524409	Andhra Pradesh	Nellore
Ipuru	524323	Andhra Pradesh	Nellore
Irakam	524401	Andhra Pradesh	Nellore
Irlapadu	524312	Andhra Pradesh	Nellore
Isaka Damerla	524221	Andhra Pradesh	Nellore
Isakapalem	524305	Andhra Pradesh	Nellore
Iskapalem	524323	Andhra Pradesh	Nellore
Iskapalli	524315	Andhra Pradesh	Nellore
Jagdevipeta	524314	Andhra Pradesh	Nellore
Jaladanki	524223	Andhra Pradesh	Nellore
Jaladevi	524227	Andhra Pradesh	Nellore
Jammalapalem	524201	Andhra Pradesh	Nellore
Janathapeta	524201	Andhra Pradesh	Nellore
Jangaladoruvu	524308	Andhra Pradesh	Nellore
Jangamreddypalli	524227	Andhra Pradesh	Nellore
Jayampu	524131	Andhra Pradesh	Nellore
Jayapuram	524310	Andhra Pradesh	Nellore
Jeelapatur	524129	Andhra Pradesh	Nellore
Jirravaripalem	524224	Andhra Pradesh	Nellore
Jogipalli	524407	Andhra Pradesh	Nellore
Jonnavada	524305	Andhra Pradesh	Nellore
Josephpet	524321	Andhra Pradesh	Nellore
Juvvalapalem	524126	Andhra Pradesh	Nellore
Kadagunta	524404	Andhra Pradesh	Nellore
Kadalur	524121	Andhra Pradesh	Nellore
Kadivedu	524410	Andhra Pradesh	Nellore
Kakarlapadu	524234	Andhra Pradesh	Nellore
Kakivoya	524343	Andhra Pradesh	Nellore
Kakolluvaripalli	524227	Andhra Pradesh	Nellore
Kakupalli	524346	Andhra Pradesh	Nellore
Kakutur	524320	Andhra Pradesh	Nellore
Kalayakagollu	524305	Andhra Pradesh	Nellore
Kalichedu	524409	Andhra Pradesh	Nellore
Kaligiri	524224	Andhra Pradesh	Nellore
Kallur	524415	Andhra Pradesh	Nellore
Kallurpalli	524004	Andhra Pradesh	Nellore
Kaluvoya	524343	Andhra Pradesh	Nellore
Kalvelapalem	524346	Andhra Pradesh	Nellore
Kamakur	524131	Andhra Pradesh	Nellore
Kamireddypadu	524302	Andhra Pradesh	Nellore
Kammapalem	524316	Andhra Pradesh	Nellore
Kammavaripalem	524223	Andhra Pradesh	Nellore
Kampasamudram	524230	Andhra Pradesh	Nellore
Kandaleru Dam	524408	Andhra Pradesh	Nellore
Kandali	524406	Andhra Pradesh	Nellore
Kandamur	524309	Andhra Pradesh	Nellore
Kandra	524101	Andhra Pradesh	Nellore
Kanuparthi	524345	Andhra Pradesh	Nellore
Kanuparthipadu	524004	Andhra Pradesh	Nellore
Kanupurpalli	524343	Andhra Pradesh	Nellore
Kanupuru	524320	Andhra Pradesh	Nellore
Kanururajupalem	524126	Andhra Pradesh	Nellore
Kapparallatippa	524152	Andhra Pradesh	Nellore
Kapulur	524126	Andhra Pradesh	Nellore
Karaballavolu	524402	Andhra Pradesh	Nellore
Karatampadu	524307	Andhra Pradesh	Nellore
Karijatha	524121	Andhra Pradesh	Nellore
Karikadu	524403	Andhra Pradesh	Nellore
Karur	524401	Andhra Pradesh	Nellore
Kasipuram	524415	Andhra Pradesh	Nellore
Kasumur	524320	Andhra Pradesh	Nellore
Katepalli	524228	Andhra Pradesh	Nellore
Katrayapadu	524240	Andhra Pradesh	Nellore
Kattubadipalem	524305	Andhra Pradesh	Nellore
Kattuvapalli	524405	Andhra Pradesh	Nellore
Kavali	524201	Andhra Pradesh	Nellore
Kavali Bazar	524001	Andhra Pradesh	Nellore
Kavali Co-op colony	524201	Andhra Pradesh	Nellore
Kavali Cutchery	524201	Andhra Pradesh	Nellore
Kavali Mustapuram	524234	Andhra Pradesh	Nellore
Kavali Yadavalli	524234	Andhra Pradesh	Nellore
Kayyur	524404	Andhra Pradesh	Nellore
Kesavaram	524410	Andhra Pradesh	Nellore
Kethugunta	524302	Andhra Pradesh	Nellore
Khaderpur	524312	Andhra Pradesh	Nellore
Kodavaluru	524316	Andhra Pradesh	Nellore
Kodur	524002	Andhra Pradesh	Nellore
Kodurupadu	524314	Andhra Pradesh	Nellore
Kogili	524127	Andhra Pradesh	Nellore
Kokkupadu	524411	Andhra Pradesh	Nellore
Kolagatla	524308	Andhra Pradesh	Nellore
Kolanukuduru	524405	Andhra Pradesh	Nellore
Kollapanayunipalli	524342	Andhra Pradesh	Nellore
Komarika	524308	Andhra Pradesh	Nellore
Kommalapudi	524405	Andhra Pradesh	Nellore
Kommaneturu	524406	Andhra Pradesh	Nellore
Kommarapudi	524004	Andhra Pradesh	Nellore
Kommi	524201	Andhra Pradesh	Nellore
Kona Samudram	524307	Andhra Pradesh	Nellore
Kondagunta	524101	Andhra Pradesh	Nellore
Kondameedikondur	524308	Andhra Pradesh	Nellore
Kondapuram	524239	Andhra Pradesh	Nellore
Kondayapalem	524004	Andhra Pradesh	Nellore
Kondlapudi	524004	Andhra Pradesh	Nellore
Korimerla	524308	Andhra Pradesh	Nellore
Koruturu	524313	Andhra Pradesh	Nellore
Kota(nl)	524411	Andhra Pradesh	Nellore
Kotambedu	524421	Andhra Pradesh	Nellore
Kotapolur	524123	Andhra Pradesh	Nellore
Kotha Kodur	524002	Andhra Pradesh	Nellore
Kothapalem	524413	Andhra Pradesh	Nellore
Kothapalli	524303	Andhra Pradesh	Nellore
Kothapalli Kovurgunta	524152	Andhra Pradesh	Nellore
Kothapatnam	524411	Andhra Pradesh	Nellore
Kothapeta	524221	Andhra Pradesh	Nellore
Kothavangallu	524317	Andhra Pradesh	Nellore
Kotitheertham	524341	Andhra Pradesh	Nellore
Kottur	524004	Andhra Pradesh	Nellore
Kovur	524137	Andhra Pradesh	Nellore
Kovur Cutchery	524137	Andhra Pradesh	Nellore
Kovurpalli	524142	Andhra Pradesh	Nellore
Krakatur	524225	Andhra Pradesh	Nellore
Krishnampalli	524226	Andhra Pradesh	Nellore
Krishnapatnam	524344	Andhra Pradesh	Nellore
Krishnapuram	524230	Andhra Pradesh	Nellore
Kudithipalem	524313	Andhra Pradesh	Nellore
Kullur	524343	Andhra Pradesh	Nellore
Kummarakondur	524225	Andhra Pradesh	Nellore
Kundakur	524131	Andhra Pradesh	Nellore
Kundam	524131	Andhra Pradesh	Nellore
Kunkuvaripalem	524201	Andhra Pradesh	Nellore
Kuppurupadu	524308	Andhra Pradesh	Nellore
Kuricherlapadu	524405	Andhra Pradesh	Nellore
Kurrapalli	524226	Andhra Pradesh	Nellore
